id;titulo;descricao;data_horario;classificacao;status
1;these unrealistic;speedy illusion flimsy;2025-02-06T10:05:58;TRABALHO;CANCELADO
2;judicious;astride;2025-02-06T14:48:16;ESTUDO;EM_ANDAMENTO
3;when;ha um remorseful;2025-02-07T00:24:13;PESSOAL;CONCLUIDO
4;meh;whenever yippee basic;2025-02-06T13:46:39;TRABALHO;PENDENTE
5;atop stale marten;heartache never up;2025-02-06T07:20:44;ESTUDO;EM_ANDAMENTO
6;fantastic;since anxiously;2025-02-06T22:37:34;TRABALHO;EM_ANDAMENTO
7;unless meanwhile like;zany legitimize;2025-02-06T06:42:15;TRABALHO;PENDENTE
8;thick handy obstruct;fervently ugh foolishly;2025-02-06T14:20:10;ESTUDO;EM_ANDAMENTO
9;or fund;dispose sympathetically conversation;2025-02-06T15:20:01;ESTUDO;PENDENTE
10;ironclad likewise;recount mmm;2025-02-06T10:00:55;TRABALHO;EM_ANDAMENTO
